Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Male,Galway,50 - 59 years,Euro,49350,GALWAY
Mean Annual Earnings,2011,Male,Galway,60 years and over,Euro,35749,GALWAY
Mean Annual Earnings,2011,Male,Kildare,15 - 24 years,Euro,19538,KILDARE
Mean Annual Earnings,2011,Male,Kildare,15 years and over,Euro,49256,KILDARE
Mean Annual Earnings,2011,Male,Kildare,25 - 29 years,Euro,32975,KILDARE
Mean Annual Earnings,2011,Male,Kildare,30 - 39 years,Euro,47296,KILDARE
Mean Annual Earnings,2011,Male,Kildare,40 - 49 years,Euro,59776,KILDARE
Mean Annual Earnings,2011,Male,Kildare,50 - 59 years,Euro,58680,KILDARE
Mean Annual Earnings,2011,Male,Kildare,60 years and over,Euro,43733,KILDARE
Mean Annual Earnings,2011,Male,Kilkenny,15 - 24 years,Euro,19237,KILKENNY
Mean Annual Earnings,2011,Male,Kilkenny,15 years and over,Euro,42493,KILKENNY
Mean Annual Earnings,2011,Male,Kilkenny,25 - 29 years,Euro,30285,KILKENNY
Mean Annual Earnings,2011,Male,Kilkenny,30 - 39 years,Euro,41896,KILKENNY
Mean Annual Earnings,2011,Male,Kilkenny,40 - 49 years,Euro,49931,KILKENNY
Mean Annual Earnings,2011,Male,Kilkenny,50 - 59 years,Euro,49693,KILKENNY
Mean Annual Earnings,2011,Male,Kilkenny,60 years and over,Euro,35786,KILKENNY
Mean Annual Earnings,2011,Male,Kerry,15 - 24 years,Euro,17845,KERRY
Mean Annual Earnings,2011,Male,Kerry,15 years and over,Euro,39189,KERRY
Mean Annual Earnings,2011,Male,Kerry,25 - 29 years,Euro,29422,KERRY
Mean Annual Earnings,2011,Male,Kerry,30 - 39 years,Euro,37848,KERRY
Mean Annual Earnings,2011,Male,Kerry,40 - 49 years,Euro,45656,KERRY
Mean Annual Earnings,2011,Male,Kerry,50 - 59 years,Euro,45201,KERRY
Mean Annual Earnings,2011,Male,Kerry,60 years and over,Euro,35465,KERRY
Mean Annual Earnings,2011,Male,Longford,15 - 24 years,Euro,20311,LONGFORD
Mean Annual Earnings,2011,Male,Longford,15 years and over,Euro,36900,LONGFORD
Mean Annual Earnings,2011,Male,Longford,25 - 29 years,Euro,29871,LONGFORD
Mean Annual Earnings,2011,Male,Longford,30 - 39 years,Euro,37013,LONGFORD
Mean Annual Earnings,2011,Male,Longford,40 - 49 years,Euro,42839,LONGFORD
Mean Annual Earnings,2011,Male,Longford,50 - 59 years,Euro,41876,LONGFORD
Mean Annual Earnings,2011,Male,Longford,60 years and over,Euro,31593,LONGFORD
Mean Annual Earnings,2011,Male,Louth,15 - 24 years,Euro,18071,LOUTH
Mean Annual Earnings,2011,Male,Louth,15 years and over,Euro,41125,LOUTH
Mean Annual Earnings,2011,Male,Louth,25 - 29 years,Euro,29809,LOUTH
Mean Annual Earnings,2011,Male,Louth,30 - 39 years,Euro,40703,LOUTH
Mean Annual Earnings,2011,Male,Louth,40 - 49 years,Euro,49320,LOUTH
Mean Annual Earnings,2011,Male,Louth,50 - 59 years,Euro,48203,LOUTH
Mean Annual Earnings,2011,Male,Louth,60 years and over,Euro,34088,LOUTH
Mean Annual Earnings,2011,Male,Limerick,15 - 24 years,Euro,18610,LIMERICK
Mean Annual Earnings,2011,Male,Limerick,15 years and over,Euro,44122,LIMERICK
Mean Annual Earnings,2011,Male,Limerick,25 - 29 years,Euro,30706,LIMERICK
Mean Annual Earnings,2011,Male,Limerick,30 - 39 years,Euro,42728,LIMERICK
Mean Annual Earnings,2011,Male,Limerick,40 - 49 years,Euro,52607,LIMERICK
