Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County,Mean_Median_Diff,Mean_Median_Diff_Perc
Mean Annual Earnings,2011,Both sexes,Wexford,15 - 24 years,Euro,17146,WEXFORD,1022.0,6.338377573803027
Mean Annual Earnings,2011,Both sexes,Wexford,15 years and over,Euro,33672,WEXFORD,4720.0,16.302846090080134
Mean Annual Earnings,2011,Both sexes,Wexford,25 - 29 years,Euro,28186,WEXFORD,2186.0,8.407692307692308
Mean Annual Earnings,2011,Both sexes,Wexford,30 - 39 years,Euro,35436,WEXFORD,3569.0,11.199673643581134
Mean Annual Earnings,2011,Both sexes,Wexford,40 - 49 years,Euro,37359,WEXFORD,5502.0,17.270929466051417
Mean Annual Earnings,2011,Both sexes,Wexford,50 - 59 years,Euro,36718,WEXFORD,5188.0,16.45417063114494
Mean Annual Earnings,2011,Both sexes,Wexford,60 years and over,Euro,27509,WEXFORD,5309.0,23.914414414414413
Mean Annual Earnings,2011,Both sexes,Ireland,15 - 24 years,Euro,17899,IRELAND,1205.0,7.218162213969091
Mean Annual Earnings,2011,Both sexes,Ireland,15 years and over,Euro,39594,IRELAND,6437.0,19.41369846487921
Mean Annual Earnings,2011,Both sexes,Ireland,25 - 29 years,Euro,30230,IRELAND,2290.0,8.19613457408733
Mean Annual Earnings,2011,Both sexes,Ireland,30 - 39 years,Euro,40872,IRELAND,4368.0,11.965811965811966
Mean Annual Earnings,2011,Both sexes,Ireland,40 - 49 years,Euro,46364,IRELAND,8578.0,22.70152966707246
Mean Annual Earnings,2011,Both sexes,Ireland,50 - 59 years,Euro,44307,IRELAND,7631.0,20.806521976224232
Mean Annual Earnings,2011,Both sexes,Ireland,60 years and over,Euro,33267,IRELAND,7258.0,27.90572494136645
Mean Annual Earnings,2011,Male,Clare,15 - 24 years,Euro,18598,CLARE,1217.0,7.001898624935274
Mean Annual Earnings,2011,Male,Clare,15 years and over,Euro,45175,CLARE,7449.0,19.74500344589938
Mean Annual Earnings,2011,Male,Clare,25 - 29 years,Euro,30017,CLARE,2030.0,7.25336763497338
Mean Annual Earnings,2011,Male,Clare,30 - 39 years,Euro,42359,CLARE,4805.0,12.79490866485594
Mean Annual Earnings,2011,Male,Clare,40 - 49 years,Euro,53148,CLARE,9255.0,21.085366687171074
Mean Annual Earnings,2011,Male,Clare,50 - 59 years,Euro,55302,CLARE,10220.0,22.669801694689678
Mean Annual Earnings,2011,Male,Clare,60 years and over,Euro,37537,CLARE,7305.0,24.163138396401163
Mean Annual Earnings,2011,Male,Cork,15 - 24 years,Euro,19030,CORK,1425.0,8.094291394490202
Mean Annual Earnings,2011,Male,Cork,15 years and over,Euro,46007,CORK,7369.0,19.07189813137326
Mean Annual Earnings,2011,Male,Cork,25 - 29 years,Euro,30904,CORK,2046.0,7.089888419155867
Mean Annual Earnings,2011,Male,Cork,30 - 39 years,Euro,44573,CORK,4927.0,12.427483226555012
Mean Annual Earnings,2011,Male,Cork,40 - 49 years,Euro,56045,CORK,9153.0,19.5193209929199
Mean Annual Earnings,2011,Male,Cork,50 - 59 years,Euro,54659,CORK,9088.0,19.94250729630686
Mean Annual Earnings,2011,Male,Cork,60 years and over,Euro,40887,CORK,8299.0,25.466429360500797
Mean Annual Earnings,2011,Male,Cavan,15 - 24 years,Euro,19754,CAVAN,396.0,2.0456658745738197
Mean Annual Earnings,2011,Male,Cavan,15 years and over,Euro,38632,CAVAN,5793.0,17.64061025000761
